Frame,Ángulo Rodilla (°),Fase
1,172.76183692277627,Despegue o Aterrizaje
2,172.88239019288739,Despegue o Aterrizaje
3,172.97832033481887,Despegue o Aterrizaje
4,172.94575392096843,Despegue o Aterrizaje
5,172.22309913811722,Despegue o Aterrizaje
6,171.1815198599905,Despegue o Aterrizaje
7,170.18320715344586,Despegue o Aterrizaje
8,169.92878846803515,Despegue o Aterrizaje
9,170.11709811965042,Despegue o Aterrizaje
10,170.59110312500889,Despegue o Aterrizaje
11,171.07448550759102,Despegue o Aterrizaje
12,171.28894749274673,Despegue o Aterrizaje
13,171.4954656420951,Despegue o Aterrizaje
14,171.67235376681825,Despegue o Aterrizaje
15,171.83259409517265,Despegue o Aterrizaje
16,171.86390856764348,Despegue o Aterrizaje
17,171.9718843423604,Despegue o Aterrizaje
18,171.95183857708332,Despegue o Aterrizaje
19,172.00907556234534,Despegue o Aterrizaje
20,172.1321610953588,Despegue o Aterrizaje
21,172.17763992144754,Despegue o Aterrizaje
22,172.14858094828574,Despegue o Aterrizaje
23,172.14388214913902,Despegue o Aterrizaje
24,172.206173003526,Despegue o Aterrizaje
25,172.1947652213644,Despegue o Aterrizaje
26,172.14396332365706,Despegue o Aterrizaje
27,172.14404305841424,Despegue o Aterrizaje
28,172.14360029939255,Despegue o Aterrizaje
29,172.21913782477517,Despegue o Aterrizaje
30,172.47686974486038,Despegue o Aterrizaje
31,172.34575189323763,Despegue o Aterrizaje
32,171.90045309774197,Despegue o Aterrizaje
33,171.11230731119912,Despegue o Aterrizaje
34,169.5257291615427,Despegue o Aterrizaje
35,169.20772512869144,Despegue o Aterrizaje
36,169.0019706902207,Despegue o Aterrizaje
37,168.74676907340285,Despegue o Aterrizaje
38,167.54154881993358,Despegue o Aterrizaje
39,166.09737622250523,Despegue o Aterrizaje
40,163.7244044363261,Despegue o Aterrizaje
41,161.3548721590161,Despegue o Aterrizaje
42,160.51173956143282,Despegue o Aterrizaje
43,158.18684267480668,Vuelo
44,155.76051881348653,Vuelo
45,150.139544588284,Vuelo
46,144.5668544917283,Vuelo
47,138.28186830481138,Vuelo
48,134.1869236325411,Vuelo
49,121.44191087689939,Vuelo
50,118.29981298914768,Vuelo
51,110.89511431669689,Vuelo
52,109.32856552957092,Vuelo
53,104.12126407636973,Vuelo
54,97.86855280760285,Vuelo
55,95.97702839986873,Vuelo
56,92.93624429174648,Vuelo
57,82.6154153071102,Impulso
58,78.19784658774108,Impulso
59,92.10578846359229,Vuelo
60,113.2585759999395,Vuelo
61,130.3424000766113,Vuelo
62,141.70447835688748,Vuelo
63,143.98696486414963,Vuelo
64,138.59098772151918,Vuelo
65,151.74211516647156,Vuelo
66,161.98384427906694,Despegue o Aterrizaje
67,164.47465137472568,Despegue o Aterrizaje
68,154.58547538710573,Vuelo
69,144.31418172029686,Vuelo
70,139.6691190826691,Vuelo
71,112.5223699200249,Vuelo
72,93.59796300226857,Vuelo
73,95.45612673808454,Vuelo
74,98.86578311975295,Vuelo
75,112.18830976063683,Vuelo
76,125.47003464350983,Vuelo
77,142.04223927291514,Vuelo
78,159.71244354577865,Vuelo
79,165.70205323159342,Despegue o Aterrizaje
80,161.6091888409813,Despegue o Aterrizaje
81,152.96706596517888,Vuelo
82,127.76336025554748,Vuelo
83,121.10055424977273,Vuelo
84,105.66933190708724,Vuelo
85,105.49827651490824,Vuelo
86,87.98801528898751,Impulso
87,86.90188670968999,Impulso
88,85.92172193930055,Impulso
89,98.03894988235317,Vuelo
90,87.5700759450223,Impulso
91,87.3248137712572,Impulso
92,87.21077243038691,Impulso
93,86.42278031941822,Impulso
94,88.51219172035795,Impulso
95,90.79073400259887,Vuelo
96,92.94861966768032,Vuelo
97,95.35659647474574,Vuelo
98,96.35380551149632,Vuelo
99,98.03764508560681,Vuelo
100,100.09830913017153,Vuelo
101,100.06480682825331,Vuelo
102,102.63073215302379,Vuelo
